Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB
43,1,1,14,95.49,57
33,0,4,10,71.34,233
47,1,3,14,36.96,313
27,1,1,18,59.29,76
25,1,3,20,88.12,102
56,1,4,24,74.36,456
55,0,3,8,83.84,450
30,1,1,11,57.64,311
36,0,3,12,85.79,474
49,0,4,2,73.27,321
53,1,4,24,78.73,84
59,1,1,11,65.8,152
47,0,2,17,31.25,398
46,1,3,6,48.1,263
35,1,1,7,38.38,248
18,0,2,16,30.2,171
55,0,2,22,68.39,351
67,0,1,6,74.26,204
19,1,0,8,62.84,446
25,0,1,10,69.33,403
25,1,0,9,88.92,498
21,1,0,23,72.94,272
45,0,3,16,38.35,52
62,1,0,5,72.61,288
38,1,0,15,60.05,267
44,0,0,4,38.51,199
42,0,0,8,44.81,340
66,1,4,20,53.69,350
18,0,4,9,99.81,193
35,1,3,9,55.05,410
70,0,1,9,37.7,120
24,1,2,15,70.82,176
40,1,3,19,75.63,432
18,0,4,22,90.17,484
50,0,1,23,41.24,64
44,1,0,20,30.71,370
51,0,1,16,91.4,316
57,1,1,18,71.14,134
55,0,3,15,82.76,467
61,0,4,7,49.1,70
20,0,3,21,53.9,112
54,1,2,23,85.85,347
35,1,1,4,68.59,162
18,1,4,13,52.33,289
52,0,2,10,37.83,229
43,1,1,15,56.88,468
18,0,0,23,35.85,172
68,0,4,18,58.89,420
41,1,0,19,65.42,411
32,1,3,12,85.62,174
33,0,4,19,34.75,273
38,1,1,5,36.2,303
56,1,3,21,75.49,74
29,1,2,7,76.43,119
21,0,2,4,81.21,370
43,0,0,14,71.17,189
38,1,3,14,95.69,292
32,0,2,16,94.65,105
19,1,2,20,60.45,434
41,1,3,11,45.71,237
57,0,4,13,42.53,89
64,0,0,10,38.63,160
20,0,4,13,31.33,463
65,0,1,13,98.03,282
35,0,3,10,65.63,270
58,1,3,11,60.16,133
55,1,4,22,56.38,264
22,0,0,24,41.61,132
57,1,0,20,42.36,243
57,1,0,21,48.23,204
48,0,0,13,47.8,260
49,1,3,21,84.42,262
31,0,4,7,53.99,238
38,1,2,10,89.07,168
42,1,3,17,69.46,335
50,1,2,8,84.0,59
66,1,0,9,40.51,131
24,1,1,23,35.73,125
40,0,4,22,58.82,182
43,0,0,12,48.2,127
45,0,1,1,46.82,118
39,1,2,2,80.77,430
31,0,1,22,87.49,74
54,0,2,2,35.48,105
64,0,2,17,69.87,413
61,0,1,24,83.95,209
24,1,0,9,73.87,216
54,1,1,1,96.86,234
66,0,4,16,86.39,208
38,1,4,1,64.99,66
55,0,3,2,79.69,96
67,1,1,15,52.4,422
25,1,4,5,32.67,372
68,1,3,8,87.52,481
54,1,2,16,72.45,273
23,1,1,13,58.67,184
39,1,2,10,46.91,313
44,0,3,18,97.04,132
58,0,2,2,64.91,332
61,1,3,21,91.62,245
53,1,2,6,60.39,128
63,0,0,19,99.09,244
32,0,3,16,36.49,295
22,1,1,4,72.18,264
32,0,1,3,56.06,483
52,0,1,21,39.07,245
68,1,0,14,74.36,482
61,1,3,4,67.4,137
68,0,1,4,98.03,83
21,1,1,5,44.8,93
47,1,1,22,77.78,462
32,0,0,7,88.43,128
28,1,0,20,39.75,110
69,1,0,16,83.08,285
24,1,4,6,90.44,452
33,1,3,1,44.27,194
68,0,1,15,60.42,396
30,1,1,8,66.17,104
60,1,4,3,35.87,54
26,1,3,13,61.15,63
66,1,2,15,37.69,390
55,0,1,19,95.24,423
56,0,3,19,94.03,84
48,0,0,17,91.9,208
49,1,4,19,76.67,383
43,1,3,12,51.31,260
44,0,2,22,32.43,356
43,1,1,13,61.31,248
64,0,4,3,87.55,224
31,0,2,3,53.15,53
24,0,4,3,74.13,287
23,0,4,3,76.39,74
63,0,2,11,61.01,486
60,0,2,15,63.96,397
31,1,4,16,83.66,147
32,1,0,9,57.94,308
37,0,2,11,70.62,370
70,1,4,10,80.22,100
38,1,2,19,86.52,436
24,1,4,4,96.26,423
63,0,3,24,39.48,76
48,0,2,3,35.13,220
20,0,0,17,31.39,349
28,1,3,16,48.44,315
32,1,0,4,91.26,200
44,1,4,15,82.63,297
49,1,3,14,66.01,307
56,1,3,19,60.09,259
53,0,0,19,73.28,248
38,0,0,15,47.96,368
61,0,3,11,37.17,314
37,1,2,17,71.44,264
60,1,1,12,32.69,309
26,0,0,10,68.91,436
60,1,0,9,83.45,87
66,0,2,23,44.63,265
19,1,4,6,82.89,349
38,1,2,4,83.07,496
44,0,4,22,66.73,77
63,0,1,7,66.39,315
22,1,2,13,35.46,90
68,0,2,16,90.56,428
59,1,3,9,61.38,337
53,0,4,3,38.36,165
32,0,0,3,38.93,341
65,1,3,3,83.72,103
53,1,2,9,74.18,296
29,0,1,22,67.08,261
47,1,4,11,72.3,189
44,0,3,22,88.94,270
31,0,3,6,73.86,122
44,0,1,13,45.23,215
27,1,1,12,44.47,338
61,1,1,3,49.03,395
18,0,1,23,85.99,363
57,0,0,13,82.24,52
27,0,0,15,62.14,372
39,0,3,22,78.38,359
70,1,3,23,80.4,482
41,0,2,15,52.08,446
55,1,3,15,99.9,228
27,1,4,1,47.76,500
51,1,0,21,68.87,206
21,1,1,21,48.69,496
50,1,3,1,74.17,235
56,0,3,8,36.02,316
53,1,2,18,44.8,341
27,1,0,19,84.6,97
25,0,3,3,54.7,447
50,0,2,18,33.46,404
52,0,4,10,73.75,319
36,0,0,11,36.39,256
44,0,2,24,57.97,242
38,0,0,14,46.89,369
63,0,2,13,82.57,412
21,0,4,17,39.69,387
59,0,4,17,81.78,351
49,0,0,19,57.24,402
57,0,2,6,70.85,76
63,1,4,21,94.33,53
21,0,1,20,33.16,65
50,1,4,24,79.05,496
62,1,0,23,48.58,135
26,0,0,22,41.13,331
30,0,1,11,80.88,451
29,0,4,13,36.0,176
29,0,3,19,64.44,347
37,0,0,11,98.44,481
70,1,4,19,48.08,186
50,1,4,14,83.7,166
42,0,1,8,33.47,155
18,1,4,18,87.25,474
30,0,0,13,97.1,156
57,1,0,14,98.19,149
52,1,1,16,39.85,340
32,1,0,13,40.67,414
33,1,1,24,91.27,74
68,0,1,4,73.25,158
40,1,1,5,87.46,67
66,1,1,6,38.95,381
66,1,1,9,36.73,450
66,1,1,20,47.14,136
22,1,1,4,61.17,166
35,1,2,18,35.66,469
30,1,0,1,41.42,276
58,0,1,9,64.15,169
44,0,3,20,57.4,447
52,0,2,10,46.37,225
36,1,0,22,67.23,66
63,0,1,12,34.99,109
36,1,1,18,65.81,480
43,1,0,23,84.93,463
63,1,2,9,78.13,380
26,0,3,2,43.11,398
60,0,4,16,71.36,430
49,0,1,18,49.75,93
53,1,4,16,35.31,369
70,1,3,8,73.76,116
26,0,2,17,76.85,483
58,1,3,10,64.58,384
61,0,0,7,73.97,231
68,0,3,16,67.07,358
69,0,2,9,80.84,390
32,0,2,19,88.22,482
40,0,1,12,86.15,393
28,1,1,19,88.59,115
21,0,0,22,63.08,155
23,1,4,14,76.29,294
30,0,4,7,87.11,51
43,1,4,17,81.47,76
70,0,2,19,70.21,314
62,0,3,4,92.38,342
31,1,4,12,48.94,294
37,1,2,2,61.14,412
49,1,2,13,61.14,187
67,0,4,15,88.9,153
66,1,2,5,93.1,144
65,1,1,5,49.99,110
62,0,0,22,66.08,210
30,0,4,23,47.07,144
35,1,0,16,58.74,164
36,1,1,13,35.52,139
68,0,2,6,81.66,498
47,1,2,12,42.82,125
61,1,1,17,68.76,310
33,1,1,7,91.99,52
61,0,1,8,82.58,184
34,1,1,13,37.4,307
70,1,4,8,63.88,449
27,1,0,24,81.83,401
57,0,2,23,41.95,246
49,0,3,13,64.94,449
53,0,4,14,59.9,487
65,0,3,24,55.73,241
22,1,1,6,76.08,76
21,1,4,15,30.47,378
45,0,4,21,37.86,415
51,1,0,23,68.84,201
28,0,3,3,65.08,324
64,0,1,7,57.63,157
52,1,0,10,82.1,75
52,1,1,7,62.49,271
53,1,3,19,37.6,329
41,0,0,17,54.19,166
51,0,2,13,41.43,362
61,0,4,12,31.02,345
43,0,2,21,31.14,329
36,1,4,1,80.71,315
35,0,3,11,44.9,87
29,0,1,13,44.21,476
55,0,2,3,92.88,267
20,1,0,6,62.31,55
26,1,1,13,84.39,130
50,0,2,10,90.79,480
23,1,1,14,53.37,460
60,0,1,20,63.76,476
45,1,0,15,49.02,482
23,0,1,5,58.69,197
43,0,1,16,31.52,66
38,1,2,5,88.98,83
60,0,0,8,39.91,211
51,0,3,14,45.52,110
42,0,1,3,75.86,320
19,0,1,9,70.87,271
69,1,0,6,51.61,87
54,0,4,7,92.38,264
40,1,4,4,84.31,117
26,0,0,18,98.91,391
64,0,3,19,36.67,427
34,0,4,4,42.05,476
23,1,4,9,38.07,307
40,0,1,3,78.74,222
32,0,4,9,65.25,246
51,1,1,17,39.66,178
56,1,2,23,97.69,457
47,1,0,24,50.13,166
19,0,2,2,87.92,123
20,1,3,3,66.38,140
33,1,3,16,54.82,231
23,1,1,14,96.02,274
38,0,3,23,87.73,344
38,1,4,12,34.96,142
54,1,3,21,80.99,63
51,0,2,2,44.17,485
36,0,4,13,99.52,379
28,1,1,14,42.99,223
32,0,2,10,46.79,435
65,0,4,7,83.3,272
59,1,0,18,59.76,116
43,1,1,22,95.49,156
39,0,3,11,33.52,480
52,1,2,1,82.14,264
21,0,2,18,42.09,443
41,0,4,20,34.18,292
46,0,2,18,54.74,355
33,1,2,17,34.16,326
19,1,1,4,69.28,481
56,1,0,19,40.54,124
21,1,3,20,54.24,340
60,1,1,10,72.78,304
50,0,1,9,81.12,180
46,0,0,4,51.75,127
23,1,4,14,42.32,326
54,1,0,2,61.45,343
40,0,3,24,68.6,228
68,0,3,14,74.39,274
55,1,1,11,80.79,389
31,0,0,24,72.97,300
34,1,3,18,72.01,452
23,0,2,8,66.42,458
34,1,0,17,39.14,325
56,1,3,13,38.64,278
55,1,2,14,70.56,213
21,1,3,9,38.21,439
60,0,0,14,57.81,281
70,0,3,5,66.59,396
44,1,0,10,97.37,358
47,1,1,21,42.47,292
55,0,2,22,69.57,243
38,1,0,24,75.59,464
19,1,0,2,86.09,239
66,1,4,17,80.36,318
39,1,2,20,53.52,331
39,1,1,24,74.75,264
38,1,3,1,77.66,400
45,0,0,23,75.5,82
23,1,4,1,41.08,90
37,1,2,20,77.76,428
64,1,3,4,30.84,485
20,1,1,11,94.44,201
45,1,2,13,43.52,233
24,0,2,10,46.76,305
29,1,0,11,77.22,105
65,1,2,11,75.83,463
54,0,0,24,41.58,487
37,1,3,13,78.6,55
52,1,0,1,85.09,100
52,1,2,19,93.84,111
34,0,0,10,62.86,389
31,0,2,14,40.54,465
29,1,4,24,83.49,87
65,0,0,14,31.86,379
30,1,1,21,38.19,446
47,0,1,10,65.52,260
63,1,2,21,40.66,273
69,0,0,20,76.85,490
44,0,3,14,88.16,195
58,1,3,17,36.94,207
33,0,1,15,95.6,226
56,1,1,9,75.84,485
35,0,3,10,78.47,425
62,1,1,11,59.32,497
36,1,4,4,92.71,418
24,0,1,23,38.26,464
35,0,4,7,50.28,175
45,0,3,23,98.95,92
62,1,1,2,60.61,491
51,1,1,22,76.92,460
69,0,3,12,79.3,406
52,0,0,6,30.72,189
31,1,1,20,74.9,140
53,1,4,17,46.41,380
25,0,3,4,36.02,436
70,0,1,20,64.79,443
54,1,2,14,33.47,232
69,0,4,18,34.39,208
34,1,2,10,79.57,451
46,0,4,2,88.07,227
50,1,1,22,65.35,96
49,1,3,20,81.41,331
37,1,0,13,49.76,231
31,1,2,21,56.86,295
23,1,3,20,69.02,100
55,0,0,12,96.07,500
43,1,1,4,97.88,353
50,1,4,14,48.75,301
43,1,3,24,45.67,484
42,0,4,8,50.74,213
35,1,4,14,53.67,253
28,1,4,20,84.38,106
39,1,1,3,97.81,139
57,1,2,9,50.77,467
22,1,3,24,55.58,298
62,0,4,13,31.99,466
23,0,1,24,77.01,211
64,1,2,4,34.34,459
20,0,0,22,38.85,235
37,0,3,18,70.42,222
63,1,3,23,90.05,201
47,1,1,14,43.83,361
48,1,1,21,73.22,110
29,0,2,22,63.97,81
70,0,2,9,96.94,78
50,1,0,9,59.05,312
64,1,4,17,61.2,336
62,1,4,24,32.11,455
28,1,3,15,44.26,486
18,0,2,13,98.48,500
26,1,3,22,44.52,462
48,1,3,4,76.64,154
25,0,0,24,46.22,158
60,0,1,1,93.04,170
18,0,1,13,48.3,489
41,1,3,8,63.39,494
20,0,3,7,83.28,463
20,1,3,12,45.99,245
19,0,0,1,47.07,459
35,0,0,14,87.82,485
24,1,3,13,32.47,446
18,0,4,6,30.19,140
32,1,3,14,30.36,106
70,0,3,4,92.74,155
54,1,2,22,59.35,371
58,0,0,19,93.23,367
32,1,4,12,83.34,344
42,1,1,14,61.9,469
66,0,2,18,97.56,237
48,0,2,23,88.35,151
23,0,1,8,56.17,493
55,1,0,18,73.93,236
24,1,0,1,73.97,452
48,0,3,22,85.38,104
33,1,1,8,56.89,232
55,1,4,23,55.08,193
53,1,0,23,78.93,81
50,1,2,16,43.53,226
29,1,3,18,80.88,241
32,1,0,18,41.5,99
23,1,4,24,83.58,271
33,0,3,17,70.92,198
20,0,2,10,54.49,479
41,1,4,12,82.2,453
22,1,3,11,40.08,316
63,0,1,17,58.23,483
21,1,2,22,50.03,380
37,0,3,24,60.95,448
69,1,2,12,48.71,127
56,0,2,10,79.2,116
55,0,2,15,71.85,215
28,0,1,3,79.44,191
24,1,1,1,91.68,401
30,1,2,20,44.66,329
46,1,2,5,54.56,372
54,0,3,9,32.74,285
52,1,4,2,35.96,296
19,0,1,20,50.5,353
24,1,4,2,44.52,296
57,1,3,19,30.86,92
46,1,4,5,36.46,404
40,0,3,11,33.2,325
65,0,3,3,97.46,255
39,0,0,17,75.79,58
60,0,0,2,92.79,499
30,1,0,6,79.5,256
31,1,1,15,41.3,236
48,1,2,17,97.94,464
64,1,1,17,50.41,323
68,0,1,5,60.18,331
41,0,0,8,54.56,399
30,1,1,13,31.12,84
64,0,1,11,64.89,438
33,1,0,21,64.06,368
42,1,3,19,68.39,286
50,1,1,6,31.84,486
25,1,2,2,63.22,366
26,0,4,4,84.45,154
51,1,4,8,97.44,417
47,1,3,15,33.13,235
57,0,0,19,99.43,253
24,0,2,6,44.8,191
56,0,2,11,98.53,318
47,1,3,13,40.6,277
68,0,1,16,60.76,488
29,1,3,9,47.7,456
54,0,4,21,88.55,409
54,1,4,20,58.27,480
57,0,4,19,67.29,472
48,0,3,11,37.91,170
23,0,3,5,80.07,453
35,0,2,23,89.24,300
23,1,0,19,50.45,458
49,0,3,12,31.59,155
22,1,0,13,51.75,144
69,1,3,16,30.93,109
60,0,2,3,67.13,230
27,1,2,7,53.21,188
23,0,0,21,48.12,156
48,1,2,7,92.34,127
22,0,0,7,45.68,156
26,1,3,17,43.04,226
44,0,1,14,79.87,370
43,1,2,23,32.08,472
29,0,4,17,57.76,434
50,0,4,4,35.26,208
46,1,3,20,87.11,278
44,0,1,9,98.45,168
44,0,1,2,53.26,424
66,1,2,10,59.03,134
33,1,1,20,63.69,264
36,0,4,15,48.01,354
31,1,3,11,80.99,114
45,1,1,21,90.07,494
41,0,3,24,53.67,386
32,1,2,17,35.39,159
64,1,1,1,66.51,197
29,0,4,15,67.85,130
36,1,4,12,47.36,454
36,1,3,3,91.08,429
29,0,0,16,81.94,253
53,0,1,4,44.09,286
31,0,1,10,80.43,292
23,1,4,2,61.87,487
68,1,4,15,53.7,326
59,1,1,8,74.71,352
21,0,2,7,73.34,377
29,1,3,4,83.09,384
44,0,0,11,58.05,134
21,0,2,2,50.45,94
48,0,1,18,62.6,493
58,1,3,3,86.65,163
48,0,1,3,36.46,473
48,1,1,14,33.86,292
57,0,0,22,58.79,178
19,0,3,24,55.67,99
54,1,3,3,55.85,400
55,0,2,21,39.9,395
20,0,4,19,63.32,375
35,1,0,1,55.15,65
61,0,4,11,89.36,75
22,1,0,17,83.37,321
67,0,2,15,53.5,162
65,0,2,23,61.61,409
54,1,4,13,47.15,164
51,0,2,12,52.87,158
53,1,2,23,60.82,313
40,0,0,5,79.91,90
41,0,3,20,78.8,298
30,0,1,10,71.02,190
60,1,2,2,58.86,159
45,1,1,16,94.73,462
43,1,2,20,90.58,388
66,1,3,7,97.04,76
56,1,2,15,34.04,373
37,1,0,1,56.3,141
51,1,2,13,67.87,155
47,1,0,7,37.27,350
48,1,1,6,48.12,136
24,1,2,14,65.39,90
56,0,4,22,68.38,341
44,1,0,4,66.82,142
29,1,2,7,83.04,191
65,0,3,22,64.26,170
52,0,1,2,77.26,193
67,1,1,10,63.05,348
23,1,3,19,89.1,88
23,1,0,3,73.73,379
20,1,3,5,63.7,97
60,1,0,21,77.17,381
18,0,0,3,77.96,380
58,0,1,15,69.84,474
51,1,0,22,73.01,256
27,0,0,8,55.95,54
43,0,3,5,31.52,346
50,1,3,19,32.55,53
67,1,0,8,62.61,194
21,0,1,11,69.76,182
43,1,3,8,68.01,139
40,1,1,1,42.61,437
33,1,1,23,62.81,371
49,0,1,2,40.82,451
69,0,0,20,60.33,242
49,0,0,15,31.53,455
66,0,4,20,78.28,430
30,1,2,23,86.82,313
23,0,4,20,65.81,388
23,0,1,7,85.13,281
48,0,2,7,92.39,457
70,0,4,13,72.51,435
18,0,0,19,63.45,270
19,1,0,8,91.09,161
45,1,0,23,70.7,73
36,0,2,12,73.35,440
51,1,4,3,33.58,354
44,0,3,9,57.59,85
20,1,0,3,34.14,424
69,0,4,10,35.23,76
27,1,0,21,72.01,439
19,0,0,21,46.1,145
44,1,2,4,36.75,261
18,0,4,15,91.34,328
68,1,3,5,43.62,302
60,0,0,15,68.21,190
55,1,1,20,30.28,357
64,0,1,2,38.11,72
54,1,3,9,60.36,346
37,1,3,6,87.78,318
53,0,1,21,96.0,138
66,0,2,9,55.03,356
20,1,1,11,59.28,376
38,0,3,16,63.23,123
67,0,4,5,69.41,334
53,1,2,21,95.65,69
41,0,2,5,30.75,226
30,0,4,9,83.03,399
67,0,0,21,80.89,176
42,0,1,24,51.91,71
56,1,0,18,49.21,257
62,1,4,14,60.58,195
51,0,0,11,65.5,459
56,0,0,24,83.6,402
45,1,3,11,80.32,74
62,0,1,18,75.03,261
23,0,1,11,56.5,413
51,1,0,8,72.55,442
53,1,1,23,91.18,197
56,0,4,23,93.88,459
68,1,1,18,51.56,228
56,0,0,10,80.1,366
66,1,1,8,46.65,428
43,1,2,8,47.68,385
30,0,3,24,77.12,306
30,1,3,24,57.06,478
41,1,4,1,99.28,318
34,1,3,18,63.02,472
65,1,2,9,56.22,338
69,1,4,7,35.55,56
27,0,0,23,86.99,221
54,0,2,19,52.85,455
34,0,4,20,76.91,51
69,0,1,21,31.16,86
35,0,1,15,83.07,226
53,0,4,20,34.93,480
32,0,4,6,57.07,141
69,0,0,10,79.63,421
28,0,2,16,84.22,194
35,1,2,10,81.22,244
57,1,4,24,42.97,364
29,0,0,12,30.79,496
37,0,2,4,30.82,383
39,1,1,5,57.5,384
18,0,3,22,92.91,186
37,1,4,16,36.74,281
25,0,3,13,77.64,440
20,0,4,12,50.29,88
23,0,2,17,42.96,271
65,0,1,12,46.65,375
53,0,3,11,92.83,335
30,1,3,3,88.97,306
23,1,2,23,71.28,366
31,0,0,23,55.37,214
61,0,1,12,57.09,422
50,1,0,11,33.95,140
60,0,1,2,60.29,137
19,1,2,14,43.06,152
57,0,2,12,67.71,171
23,0,1,7,66.89,347
64,0,1,21,30.4,58
63,0,2,20,67.17,360
63,0,0,9,76.1,189
70,0,1,24,88.26,210
54,1,3,21,75.67,242
47,0,0,4,69.71,157
38,0,2,3,89.21,270
46,1,2,8,44.96,419
33,0,1,24,68.13,140
28,0,4,17,38.5,150
55,0,2,6,58.52,494
24,1,1,13,76.06,73
33,1,4,18,87.34,128
21,1,2,9,100.0,265
49,1,1,22,92.39,72
42,1,1,18,63.01,240
26,1,2,1,56.97,384
20,0,3,3,91.86,385
54,0,2,4,68.41,326
45,1,2,1,68.97,179
63,1,1,15,85.68,72
56,1,4,14,76.17,305
27,0,0,17,84.43,352
54,1,2,5,62.77,272
19,1,2,22,51.54,395
59,0,1,7,50.04,217
41,1,1,9,56.4,368
30,1,3,6,54.11,104
65,1,2,21,51.11,339
38,1,4,22,39.59,174
45,0,0,3,46.32,369
44,1,4,14,39.57,385
41,1,2,4,40.29,481
20,1,4,9,82.02,94
28,0,2,2,62.16,438
59,1,0,1,96.13,312
37,1,2,15,50.69,435
31,0,4,1,66.88,417
31,1,0,2,81.39,57
67,0,3,5,82.11,498
38,1,4,23,60.09,131
46,0,2,8,68.72,139
34,0,2,5,90.15,330
34,1,1,13,99.03,74
20,0,2,9,76.63,380
46,0,4,4,68.04,126
54,0,2,2,40.16,136
42,1,2,6,70.13,267
59,0,0,2,55.54,348
56,0,1,9,73.56,154
18,1,0,18,93.66,417
32,0,2,2,69.76,251
65,1,1,22,70.58,252
18,1,2,14,54.97,224
40,1,4,1,42.29,52
65,1,2,22,58.51,438
39,0,2,5,95.58,216
55,0,1,21,30.77,281
24,1,3,24,56.82,244
32,1,4,8,68.18,486
53,0,3,3,41.15,283
29,0,2,24,50.15,55
24,0,4,9,62.19,293
20,1,1,5,81.35,52
45,0,1,14,86.67,180
21,0,4,15,78.54,189
45,0,4,2,44.98,482
22,1,2,5,61.99,327
25,0,0,14,70.25,420
29,0,3,8,76.07,417
30,0,2,20,35.99,110
69,1,3,20,34.96,151
34,1,2,5,49.27,91
35,1,1,3,77.23,155
47,0,4,7,88.79,485
29,1,2,6,61.99,208
25,1,3,8,52.26,356
66,0,4,17,61.65,78
25,1,1,14,97.75,149
29,0,1,12,61.8,248
58,0,2,19,40.6,372
58,0,1,20,86.27,142
21,0,4,16,93.15,88
40,0,3,4,76.66,200
56,1,2,17,53.32,280
28,1,3,4,98.62,370
30,0,0,12,34.33,202
24,0,0,22,88.64,423
21,1,2,4,94.4,123
45,0,0,5,56.93,428
33,0,3,15,86.55,222
58,0,2,1,90.48,180
41,1,4,7,40.33,165
47,1,4,12,69.93,333
55,1,0,10,36.99,288
58,1,4,11,91.82,54
44,1,2,2,62.84,195
51,0,1,22,48.04,495
24,0,1,18,85.63,366
26,1,3,11,87.2,368
26,1,3,5,67.91,252
45,0,2,7,40.91,307
31,1,1,12,58.97,219
19,1,2,10,57.75,238
44,0,1,18,41.83,338
31,1,3,8,92.54,494
23,1,2,12,44.51,156
59,1,0,16,95.39,168
31,1,4,14,61.46,432
18,0,1,13,92.43,133
35,0,2,11,80.99,449
48,1,0,20,39.16,72
46,1,0,14,89.06,392
24,0,0,11,41.07,376
51,1,4,1,48.97,165
53,1,3,1,50.59,56
34,1,2,17,61.08,484
60,0,4,1,33.96,241
40,1,3,17,58.48,262
52,1,3,5,68.31,291
25,1,1,20,80.66,94
46,0,3,6,68.37,106
67,1,4,8,63.62,99
50,1,0,7,41.91,236
35,1,0,19,63.82,85
27,0,2,12,97.78,312
26,0,1,2,94.18,192
47,1,4,21,96.53,404
38,0,1,5,62.4,287
57,0,0,20,38.34,203
26,0,3,4,31.5,350
56,0,3,14,45.63,489
68,1,0,22,43.71,234
56,0,2,24,75.57,154
53,0,3,6,81.24,129
42,1,0,15,34.67,365
51,1,4,23,89.94,183
56,0,3,22,59.98,175
27,0,2,8,51.14,285
18,1,0,7,38.58,206
44,1,2,6,95.79,494
52,0,2,24,90.48,361
20,0,1,2,39.74,449
54,0,1,8,41.96,317
62,1,0,8,52.9,391
19,0,3,6,69.94,50
68,0,1,16,53.48,203
59,0,2,19,78.77,169
23,1,0,15,49.12,204
39,0,2,18,56.82,430
58,1,0,19,92.02,153
70,0,0,23,45.52,381
49,1,1,17,33.73,183
38,1,3,2,73.19,361
55,0,2,19,30.49,82
18,1,3,11,37.66,125
37,0,3,10,82.23,460
44,1,3,3,87.39,405
29,1,2,12,35.87,310
58,1,1,23,99.71,419
58,0,0,16,67.32,325
69,1,4,13,81.26,439
36,1,2,13,43.75,197
46,0,4,24,98.01,310
48,0,3,20,77.7,131
57,1,3,19,77.28,76
37,1,0,21,97.98,197
35,1,1,1,43.0,348
37,1,2,20,87.19,299
42,0,2,9,75.17,107
48,1,4,10,95.29,271
